id,width_init,height_init,scale_first,scale_second,width_inter,height_inter,width_res,height_res,throughput,mode,interpolation,time_ms,mse,psnr,ssim,total_images,used_ai,model_name
f4e5fd65-4ca9-4a25-86b6-c4782c16201e,749,768,0.33,3,247,253,741,759,26564910.37,reconstruct,Bilinear,21.1715,337.7219661,22.84521052,0.760149602,12,False,-
f4e5fd65-4ca9-4a25-86b6-c4782c16201e,720,576,0.33,3,238,190,714,570,18760198.77,reconstruct,Bilinear,21.6938,107.6287423,27.81152096,0.737372131,12,False,-
f4e5fd65-4ca9-4a25-86b6-c4782c16201e,768,512,0.33,3,253,169,759,507,12387229.48,reconstruct,Bilinear,31.0653,414.8188816,21.95221845,0.646885302,12,False,-
f4e5fd65-4ca9-4a25-86b6-c4782c16201e,768,512,0.33,3,253,169,759,507,10981134.66,reconstruct,Bilinear,35.0431,121.4072639,27.28835689,0.729535745,12,False,-
f4e5fd65-4ca9-4a25-86b6-c4782c16201e,512,768,0.33,3,169,253,507,759,13397848.34,reconstruct,Bilinear,28.722,110.7995046,27.68542542,0.815387231,12,False,-
f4e5fd65-4ca9-4a25-86b6-c4782c16201e,512,512,0.33,3,169,169,507,507,12354204.92,reconstruct,Bilinear,20.8066,76.60768763,29.28808007,0.781137228,12,False,-
f4e5fd65-4ca9-4a25-86b6-c4782c16201e,512,512,0.33,3,169,169,507,507,14454841.45,reconstruct,Bilinear,17.7829,124.3881187,27.18301461,0.769773722,12,False,-
f4e5fd65-4ca9-4a25-86b6-c4782c16201e,1024,768,0.33,3,338,253,1014,759,20978795.67,reconstruct,Bilinear,36.6859,106.5471785,27.85538407,0.897631428,12,False,-
f4e5fd65-4ca9-4a25-86b6-c4782c16201e,529,656,0.33,3,175,216,525,648,18171523.8,reconstruct,Bilinear,18.7216,655.8798777,19.96256054,0.834561282,12,False,-
f4e5fd65-4ca9-4a25-86b6-c4782c16201e,787,576,0.33,3,260,190,780,570,18008092.71,reconstruct,Bilinear,24.6889,59.26526469,30.40280132,0.880948425,12,False,-
1c931135-ca14-44a6-94a1-5c6b1eb8050b,512,512,0.33,3,169,169,507,507,18164081.55,reconstruct,Bicubic,14.1515,137.3270353,26.75324317,0.860459713,12,False,-
1c931135-ca14-44a6-94a1-5c6b1eb8050b,706,490,0.33,3,233,162,699,486,18431664.04,reconstruct,Bicubic,18.431,170.8591008,25.80442244,0.881723304,12,False,-
1c931135-ca14-44a6-94a1-5c6b1eb8050b,749,768,0.33,3,247,253,741,759,24284277.07,reconstruct,Bicubic,23.1598,398.1764928,22.13004744,0.756508629,12,False,-
1c931135-ca14-44a6-94a1-5c6b1eb8050b,720,576,0.33,3,238,190,714,570,18095479.46,reconstruct,Bicubic,22.4907,122.8669215,27.23645384,0.728861098,12,False,-
1c931135-ca14-44a6-94a1-5c6b1eb8050b,768,512,0.33,3,253,169,759,507,11527179.92,reconstruct,Bicubic,33.3831,481.8395445,21.30177921,0.644231846,12,False,-
1c931135-ca14-44a6-94a1-5c6b1eb8050b,768,512,0.33,3,253,169,759,507,12436631.23,reconstruct,Bicubic,30.9419,151.7613898,26.31919066,0.713052155,12,False,-
1c931135-ca14-44a6-94a1-5c6b1eb8050b,512,768,0.33,3,169,253,507,759,13251957.77,reconstruct,Bicubic,29.0382,128.21256,27.05149789,0.809508903,12,False,-
1c931135-ca14-44a6-94a1-5c6b1eb8050b,512,512,0.33,3,169,169,507,507,16466311.35,reconstruct,Bicubic,15.6106,82.49174881,28.9666985,0.769698844,12,False,-
1c931135-ca14-44a6-94a1-5c6b1eb8050b,512,512,0.33,3,169,169,507,507,14698677.37,reconstruct,Bicubic,17.4879,131.4179446,26.9442569,0.755397804,12,False,-
1c931135-ca14-44a6-94a1-5c6b1eb8050b,1024,768,0.33,3,338,253,1014,759,20913238.53,reconstruct,Bicubic,36.8009,121.3059675,27.29198195,0.895067036,12,False,-
1c931135-ca14-44a6-94a1-5c6b1eb8050b,529,656,0.33,3,175,216,525,648,16475294.32,reconstruct,Bicubic,20.6491,711.555073,19.60871842,0.833238564,12,False,-
1c931135-ca14-44a6-94a1-5c6b1eb8050b,787,576,0.33,3,260,190,780,570,16990152.13,reconstruct,Bicubic,26.1681,65.86603193,29.94418861,0.874505193,12,False,-
95e708c6-cefe-4b57-8287-b300f789c79f,512,512,0.33,3,169,169,507,507,15892139.53,reconstruct,Lanczos,16.1746,143.6944148,26.55640473,0.849057337,12,False,-
95e708c6-cefe-4b57-8287-b300f789c79f,706,490,0.33,3,233,162,699,486,15342655.07,reconstruct,Lanczos,22.1418,186.4612197,25.4249184,0.854884259,12,False,-
95e708c6-cefe-4b57-8287-b300f789c79f,749,768,0.33,3,247,253,741,759,19779527.61,reconstruct,Lanczos,28.4344,434.6360066,21.74954659,0.743725135,12,False,-
95e708c6-cefe-4b57-8287-b300f789c79f,720,576,0.33,3,238,190,714,570,15440473.48,reconstruct,Lanczos,26.358,133.4953784,26.8761413,0.712890135,12,False,-
95e708c6-cefe-4b57-8287-b300f789c79f,768,512,0.33,3,253,169,759,507,10565138.96,reconstruct,Lanczos,36.4229,527.6371078,20.9074503,0.622266859,12,False,-
95e708c6-cefe-4b57-8287-b300f789c79f,768,512,0.33,3,253,169,759,507,11815206.34,reconstruct,Lanczos,32.5693,165.6482849,25.93893417,0.697430062,12,False,-
95e708c6-cefe-4b57-8287-b300f789c79f,512,768,0.33,3,169,253,507,759,11153321.1,reconstruct,Lanczos,34.5021,138.8918567,26.70403577,0.796184815,12,False,-
95e708c6-cefe-4b57-8287-b300f789c79f,512,512,0.33,3,169,169,507,507,15069735.54,reconstruct,Lanczos,17.0573,90.87979635,28.54613016,0.752786374,12,False,-
95e708c6-cefe-4b57-8287-b300f789c79f,512,512,0.33,3,169,169,507,507,14658945.1,reconstruct,Lanczos,17.5353,139.2333272,26.69337159,0.735297464,12,False,-
95e708c6-cefe-4b57-8287-b300f789c79f,1024,768,0.33,3,338,253,1014,759,11704394.93,reconstruct,Lanczos,65.7553,132.1603682,26.91979121,0.878882485,12,False,-
95e708c6-cefe-4b57-8287-b300f789c79f,529,656,0.33,3,175,216,525,648,15214124.72,reconstruct,Lanczos,22.3608,736.7536731,19.45758051,0.81234664,12,False,-
95e708c6-cefe-4b57-8287-b300f789c79f,787,576,0.33,3,260,190,780,570,14166409.11,reconstruct,Lanczos,31.3841,68.05132374,29.80243783,0.865819436,12,False,-
ac36f40c-dd86-462b-9d6e-642701b96278,512,512,0.33,3,169,169,507,507,6527681.49,reconstruct,Super-Resolution,39.3783,131.0554148,26.95625391,0.861049695,12,True,espcn
ac36f40c-dd86-462b-9d6e-642701b96278,706,490,0.33,3,233,162,699,486,6995152.808,reconstruct,Super-Resolution,48.5642,136.5411555,26.77816787,0.910473795,12,True,espcn
ac36f40c-dd86-462b-9d6e-642701b96278,749,768,0.33,3,247,253,741,759,7875505.68,reconstruct,Super-Resolution,71.4137,356.8777543,22.60560884,0.758979074,12,True,espcn
