id,width_init,height_init,scale,width_res,height_res,throughput,mode,interpolation,time_ms,mse,psnr,ssim,total_images,used_ai,model_name
286ff637-f0d3-4003-b97c-8181bd427831,500,480,3,1500,1440,34260644.2,one_way,Nearest Neighbor,63.0461,0,100,0.999999993,10,False,-
286ff637-f0d3-4003-b97c-8181bd427831,288,288,3,864,864,31076290.31,one_way,Nearest Neighbor,24.0214,0,100,0.999999984,10,False,-
286ff637-f0d3-4003-b97c-8181bd427831,256,256,3,768,768,27467657.66,one_way,Nearest Neighbor,21.4734,0,100,0.999999992,10,False,-
286ff637-f0d3-4003-b97c-8181bd427831,256,256,3,768,768,28586854.85,one_way,Nearest Neighbor,20.6327,0,100,0.999999994,10,False,-
286ff637-f0d3-4003-b97c-8181bd427831,128,128,3,384,384,23263181.14,one_way,Nearest Neighbor,6.3386,0,100,0.999999982,10,False,-
286ff637-f0d3-4003-b97c-8181bd427831,1024,1024,3,3072,3072,29873269.79,one_way,Nearest Neighbor,315.9073,0,100,0.999999994,10,False,-
286ff637-f0d3-4003-b97c-8181bd427831,1024,1024,3,3072,3072,35886117.32,one_way,Nearest Neighbor,262.9759,0,100,0.999999994,10,False,-
33409a2a-7f1b-43e9-810e-3beb93f1eddf,512,512,3,1536,1536,21868943.69,one_way,Bilinear,107.8834,0,100,0.999999991,10,False,-
33409a2a-7f1b-43e9-810e-3beb93f1eddf,512,512,3,1536,1536,22071133.29,one_way,Bilinear,106.8951,0,100,0.999999979,10,False,-
33409a2a-7f1b-43e9-810e-3beb93f1eddf,512,512,3,1536,1536,20671643.36,one_way,Bilinear,114.132,0,100,0.999999976,10,False,-
33409a2a-7f1b-43e9-810e-3beb93f1eddf,500,480,3,1500,1440,20881428.29,one_way,Bilinear,103.4412,0,100,0.999999993,10,False,-
33409a2a-7f1b-43e9-810e-3beb93f1eddf,288,288,3,864,864,21427390.47,one_way,Bilinear,34.8384,0,100,0.999999984,10,False,-
33409a2a-7f1b-43e9-810e-3beb93f1eddf,256,256,3,768,768,16733497.69,one_way,Bilinear,35.2481,0,100,0.999999992,10,False,-
33409a2a-7f1b-43e9-810e-3beb93f1eddf,256,256,3,768,768,19045503.27,one_way,Bilinear,30.9692,0,100,0.999999994,10,False,-
33409a2a-7f1b-43e9-810e-3beb93f1eddf,128,128,3,384,384,16218213.81,one_way,Bilinear,9.092,0,100,0.999999982,10,False,-
33409a2a-7f1b-43e9-810e-3beb93f1eddf,1024,1024,3,3072,3072,20865989.1,one_way,Bilinear,452.2759,0,100,0.999999994,10,False,-
33409a2a-7f1b-43e9-810e-3beb93f1eddf,1024,1024,3,3072,3072,25892498.7,one_way,Bilinear,364.4756,0,100,0.999999994,10,False,-
30af2d4e-42c1-4de6-a5f5-0805554ee892,512,512,3,1536,1536,21714283.61,one_way,Bicubic,108.6518,0,100,0.999999991,10,False,-
30af2d4e-42c1-4de6-a5f5-0805554ee892,512,512,3,1536,1536,21177801.2,one_way,Bicubic,111.4042,0,100,0.999999979,10,False,-
30af2d4e-42c1-4de6-a5f5-0805554ee892,512,512,3,1536,1536,20426451.49,one_way,Bicubic,115.502,0,100,0.999999976,10,False,-
30af2d4e-42c1-4de6-a5f5-0805554ee892,500,480,3,1500,1440,19599872.24,one_way,Bicubic,110.2048,0,100,0.999999993,10,False,-
30af2d4e-42c1-4de6-a5f5-0805554ee892,288,288,3,864,864,20606465.47,one_way,Bicubic,36.2263,0,100,0.999999984,10,False,-
30af2d4e-42c1-4de6-a5f5-0805554ee892,256,256,3,768,768,17864305.86,one_way,Bicubic,33.0169,0,100,0.999999992,10,False,-
30af2d4e-42c1-4de6-a5f5-0805554ee892,256,256,3,768,768,19262641.21,one_way,Bicubic,30.6201,0,100,0.999999994,10,False,-
30af2d4e-42c1-4de6-a5f5-0805554ee892,128,128,3,384,384,16306634.08,one_way,Bicubic,9.0427,0,100,0.999999982,10,False,-
30af2d4e-42c1-4de6-a5f5-0805554ee892,1024,1024,3,3072,3072,20168301.7,one_way,Bicubic,467.9216,0,100,0.999999994,10,False,-
30af2d4e-42c1-4de6-a5f5-0805554ee892,1024,1024,3,3072,3072,25487400.23,one_way,Bicubic,370.2686,0,100,0.999999994,10,False,-
386ac4b4-4dc3-43e7-96e3-0c736222084b,512,512,3,1536,1536,19229921.56,one_way,Lanczos,122.6888,0,100,0.999999991,10,False,-
386ac4b4-4dc3-43e7-96e3-0c736222084b,512,512,3,1536,1536,19568696.67,one_way,Lanczos,120.5648,0,100,0.999999979,10,False,-
386ac4b4-4dc3-43e7-96e3-0c736222084b,512,512,3,1536,1536,19381385.03,one_way,Lanczos,121.73,0,100,0.999999976,10,False,-
386ac4b4-4dc3-43e7-96e3-0c736222084b,500,480,3,1500,1440,18702982.78,one_way,Lanczos,115.4896,0,100,0.999999993,10,False,-
386ac4b4-4dc3-43e7-96e3-0c736222084b,288,288,3,864,864,19659738.54,one_way,Lanczos,37.9708,0,100,0.999999984,10,False,-
386ac4b4-4dc3-43e7-96e3-0c736222084b,256,256,3,768,768,16927368.53,one_way,Lanczos,34.8444,0,100,0.999999992,10,False,-
386ac4b4-4dc3-43e7-96e3-0c736222084b,256,256,3,768,768,18066990.34,one_way,Lanczos,32.6465,0,100,0.999999994,10,False,-
386ac4b4-4dc3-43e7-96e3-0c736222084b,128,128,3,384,384,15046377.08,one_way,Lanczos,9.8001,0,100,0.999999982,10,False,-
386ac4b4-4dc3-43e7-96e3-0c736222084b,1024,1024,3,3072,3072,18592245.55,one_way,Lanczos,507.5871,0,100,0.999999994,10,False,-
386ac4b4-4dc3-43e7-96e3-0c736222084b,1024,1024,3,3072,3072,22994146.44,one_way,Lanczos,410.4168,0,100,0.999999994,10,False,-
df12113c-3705-4ce2-b6d9-7fe51db0a683,512,512,3,1536,1536,8289866.479,one_way,Super-Resolution,284.6,0.817351023,49.0067175,0.995443369,10,True,espcn
df12113c-3705-4ce2-b6d9-7fe51db0a683,512,512,3,1536,1536,8443885.805,one_way,Super-Resolution,279.4088,0.758336385,49.33218467,0.996502009,10,True,espcn
df12113c-3705-4ce2-b6d9-7fe51db0a683,512,512,3,1536,1536,8180694.734,one_way,Super-Resolution,288.398,0.813142141,49.02913892,0.995907853,10,True,espcn
df12113c-3705-4ce2-b6d9-7fe51db0a683,500,480,3,1500,1440,7764332.382,one_way,Super-Resolution,278.1952,1.639091667,45.98477119,0.998273967,10,True,espcn
df12113c-3705-4ce2-b6d9-7fe51db0a683,288,288,3,864,864,7566993.338,one_way,Super-Resolution,98.6516,0.572016461,50.55671834,0.997097161,10,True,espcn
df12113c-3705-4ce2-b6d9-7fe51db0a683,256,256,3,768,768,7518048.701,one_way,Super-Resolution,78.4544,1.467758179,46.46425852,0.997634216,10,True,espcn
df12113c-3705-4ce2-b6d9-7fe51db0a683,256,256,3,768,768,8176034.022,one_way,Super-Resolution,72.1406,1.764801025,45.66384613,0.998730518,10,True,espcn
df12113c-3705-4ce2-b6d9-7fe51db0a683,128,128,3,384,384,6226080.495,one_way,Super-Resolution,23.6836,0.798177083,49.10981106,0.997566674,10,True,espcn
df12113c-3705-4ce2-b6d9-7fe51db0a683,1024,1024,3,3072,3072,8715252.567,one_way,Super-Resolution,1082.8354,2.670838674,43.86432705,0.99871272,10,True,espcn
df12113c-3705-4ce2-b6d9-7fe51db0a683,1024,1024,3,3072,3072,9580262.344,one_way,Super-Resolution,985.0653,0.522797585,50.94746789,0.999022215,10,True,espcn
b758cb94-0dcf-4cf2-812c-5188aca781fc,512,512,3,1536,1536,5991188.801,one_way,Super-Resolution,393.7943,2.415720622,44.30033654,0.994289164,10,True,fsrcnn
b758cb94-0dcf-4cf2-812c-5188aca781fc,512,512,3,1536,1536,6067715.855,one_way,Super-Resolution,388.8277,1.326680501,46.90314015,0.99649951,10,True,fsrcnn
b758cb94-0dcf-4cf2-812c-5188aca781fc,512,512,3,1536,1536,6096891.983,one_way,Super-Resolution,386.967,1.401107788,46.66608814,0.996075469,10,True,fsrcnn
b758cb94-0dcf-4cf2-812c-5188aca781fc,500,480,3,1500,1440,5566155.302,one_way,Super-Resolution,388.0596,2.192233333,44.72193584,0.998254705,10,True,fsrcnn
b758cb94-0dcf-4cf2-812c-5188aca781fc,288,288,3,864,864,5146157.871,one_way,Super-Resolution,145.0589,1.039994856,47.9604917,0.994643954,10,True,fsrcnn
b758cb94-0dcf-4cf2-812c-5188aca781fc,256,256,3,768,768,5300011.771,one_way,Super-Resolution,111.2873,2.511072795,44.13221058,0.997250429,10,True,fsrcnn
b758cb94-0dcf-4cf2-812c-5188aca781fc,256,256,3,768,768,6048223.855,one_way,Super-Resolution,97.5202,3.017537435,43.33427694,0.998533298,10,True,fsrcnn
b758cb94-0dcf-4cf2-812c-5188aca781fc,128,128,3,384,384,4317335.395,one_way,Super-Resolution,34.1544,1.694274902,45.84096483,0.997279229,10,True,fsrcnn
b758cb94-0dcf-4cf2-812c-5188aca781fc,1024,1024,3,3072,3072,5932317.456,one_way,Super-Resolution,1590.809,3.022174199,43.32760867,0.998124488,10,True,fsrcnn
b758cb94-0dcf-4cf2-812c-5188aca781fc,1024,1024,3,3072,3072,6358242.128,one_way,Super-Resolution,1484.2442,1.224520683,47.25114236,0.998535309,10,True,fsrcnn
803f000c-2c69-459e-b4d3-5ae823943837,512,512,4,2048,2048,41870603.86,one_way,Nearest Neighbor,100.173,0,100,0.999999991,10,False,-
803f000c-2c69-459e-b4d3-5ae823943837,512,512,4,2048,2048,45448924.59,one_way,Nearest Neighbor,92.2861,0,100,0.999999979,10,False,-
803f000c-2c69-459e-b4d3-5ae823943837,512,512,4,2048,2048,40051679.54,one_way,Nearest Neighbor,104.7223,0,100,0.999999976,10,False,-
803f000c-2c69-459e-b4d3-5ae823943837,500,480,4,2000,1920,41598960.03,one_way,Nearest Neighbor,92.31,0,100,0.999999993,10,False,-
803f000c-2c69-459e-b4d3-5ae823943837,288,288,4,1152,1152,39645104.05,one_way,Nearest Neighbor,33.4746,0,100,0.999999984,10,False,-
803f000c-2c69-459e-b4d3-5ae823943837,256,256,4,1024,1024,33973089.17,one_way,Nearest Neighbor,30.8649,0,100,0.999999992,10,False,-
803f000c-2c69-459e-b4d3-5ae823943837,256,256,4,1024,1024,35474721.23,one_way,Nearest Neighbor,29.5584,0,100,0.999999994,10,False,-
803f000c-2c69-459e-b4d3-5ae823943837,128,128,4,512,512,31612942.13,one_way,Nearest Neighbor,8.2923,0,100,0.999999982,10,False,-
803f000c-2c69-459e-b4d3-5ae823943837,1024,1024,4,4096,4096,37121487.73,one_way,Nearest Neighbor,451.9543,0,100,0.999999994,10,False,-
803f000c-2c69-459e-b4d3-5ae823943837,1024,1024,4,4096,4096,45905587.35,one_way,Nearest Neighbor,365.4722,0,100,0.999999994,10,False,-
14643ca6-6d67-4fcd-ae3b-e1c283e6e530,512,512,4,2048,2048,23438255.79,one_way,Bilinear,178.9512,0.874969482,48.71087455,0.997888008,10,False,-
14643ca6-6d67-4fcd-ae3b-e1c283e6e530,512,512,4,2048,2048,22954012.12,one_way,Bilinear,182.7264,1.092042287,47.74840905,0.995482669,10,False,-
14643ca6-6d67-4fcd-ae3b-e1c283e6e530,512,512,4,2048,2048,21989352.14,one_way,Bilinear,190.7425,1.515897115,46.32410634,0.993666172,10,False,-
14643ca6-6d67-4fcd-ae3b-e1c283e6e530,500,480,4,2000,1920,21487590.36,one_way,Bilinear,178.7078,9.327133333,38.43332176,0.991857579,10,False,-
14643ca6-6d67-4fcd-ae3b-e1c283e6e530,288,288,4,1152,1152,23606389.41,one_way,Bilinear,56.218,0.481292599,51.30671177,0.999048735,10,False,-
14643ca6-6d67-4fcd-ae3b-e1c283e6e530,256,256,4,1024,1024,21148490.57,one_way,Bilinear,49.5816,3.34803772,42.88290019,0.997880033,10,False,-
14643ca6-6d67-4fcd-ae3b-e1c283e6e530,256,256,4,1024,1024,23002452.54,one_way,Bilinear,45.5854,7.141123454,39.5931382,0.996377146,10,False,-
14643ca6-6d67-4fcd-ae3b-e1c283e6e530,128,128,4,512,512,20736615.62,one_way,Bilinear,12.6416,1.067830404,47.84578079,0.998258332,10,False,-
14643ca6-6d67-4fcd-ae3b-e1c283e6e530,1024,1024,4,4096,4096,22661712.68,one_way,Bilinear,740.3331,10.61948903,37.8697674,0.99500686,10,False,-
14643ca6-6d67-4fcd-ae3b-e1c283e6e530,1024,1024,4,4096,4096,27082067.11,one_way,Bilinear,619.4954,1.695266088,45.83842486,0.998286038,10,False,-
e4aa8803-34e6-4feb-8a71-670a1e55f8f6,512,512,4,2048,2048,22381773.14,one_way,Bicubic,187.3982,0.04347229,61.74867842,0.999894413,10,False,-
